EXID,Preferred name,Degree,Group name,ID,Synonyms
EX:E000002109,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",2996,Exposure,1912-24-9^102029-43-6^1912-24-9^001-02-2^CCNC1=NC(=NC(=N1)Cl)NC(C)C^MXWJVTOOROXGIU-UHFFFAOYSA-N,atrazine^1912-24-9^Gesaprim^Oleogesaprim^Aktikon^Atranex^Chromozin^Atazinax^Atrasine^Gesoprim
EX:E000002567,"diethoxy-sulfanylidene-(3,5,6-trichloropyridin-2-yl)oxy-lambda5-phosphane",121,Exposure,2921-88-2^2921-88-2^001-02-7^001-06-8^CCOP(=S)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl^SBPBAQFWLVIOKP-UHFFFAOYSA-N,chlorpyrifos^2921-88-2^Dursban^Chlorpyriphos^Lorsban^Trichlorpyrphos^Coroban^Brodan^Chlorpyrifos-ethyl^Equity
EX:E000002599,1-cyclopropyl-6-fluoro-4-oxo-7-piperazin-1-ylquinoline-3-carboxylic acid,14,Exposure,85721-33-1^93107-08-5^311-02-3^C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O^MYSWGUAQZAJSOK-UHFFFAOYSA-N,ciprofloxacin^85721-33-1^Ciprobay^Ciprofloxacine^Cipro^Ciproxan^Ciprofloxacina^Ciprofloxacinum^Cipro IV^Ciprocinol
EX:E000002860,"2,2-dichloroethenyl dimethyl phosphate",5,Exposure,62-73-7^62-73-7^COP(=O)(OC)OC=C(Cl)Cl^OEBRKCOSUFCWJD-UHFFFAOYSA-N,"dichlorvos^62-73-7^DDVP^Dichlorophos^2,2-Dichloroethenyl dimethyl phosphate^Vapona^2,2-Dichlorovinyl dimethyl phosphate^Chlorvinphos^Dichlorphos^Krecalvin"
EX:E000003163,"5-amino-1-[2,6-dichloro-4-(trifluoromethyl)phenyl]-4-(trifluoromethylsulfinyl)pyrazole-3-carbonitrile",402,Exposure,120068-37-3^120068-37-3^001-03-0^001-04-8^C1=C(C=C(C(=C1Cl)N2C(=C(C(=N2)C#N)S(=O)C(F)(F)F)N)Cl)C(F)(F)F^ZOCSXAVNDGMNBV-UHFFFAOYSA-N,"fipronil^120068-37-3^Termidor^Fipronil [ISO]^RM 1601^MB 46030^(+/-)-Fipronil^HSDB 7051^5-amino-1-(2,6-dichloro-4-(trifluoromethyl)phenyl)-4-((trifluoromethyl)sulfinyl)-1h-pyrazole-3-carbonitrile^NSC-758960"
EX:E000003780,diethyl 2-dimethoxyphosphinothioylsulfanylbutanedioate,414,Exposure,121-75-5^121-75-5^CCOC(=O)CC(C(=O)OCC)SP(=S)(OC)OC^JXSJBGJIGXNWCI-UHFFFAOYSA-N,malathion^121-75-5^Carbophos^Carbofos^Mercaptothion^Karbofos^Phosphothion^Carbetox^Ethiolacar^Maldison
EX:E000004290,1-ethyl-6-fluoro-4-oxo-7-piperazin-1-ylquinoline-3-carboxylic acid,3,Exposure,70458-96-7^70458-96-7^001-05-5^001-15-4^CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O^OGJPXUAPXNRGGI-UHFFFAOYSA-N,norfloxacin^70458-96-7^Noroxin^Norfloxacine^Chibroxin^Baccidal^Sebercim^MK-366^Norfloxacino^Norfloxacinum
EX:E000004331,"7-fluoro-2-methyl-6-(4-methylpiperazin-1-yl)-10-oxo-4-oxa-1-azatricyclo[7.3.1.05,13]trideca-5(13),6,8,11-tetraene-11-carboxylic acid",8,Exposure,82419-36-1^83380-47-6^82419-36-1^1261398-33-7^001-05-9^001-19-0^138199-71-0^CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O^GSDSWSVVBLHKDQ-UHFFFAOYSA-N,ofloxacin^82419-36-1^Floxin^Ofloxacine^Tarivid^Oxaldin^Ocuflox^Oflocet^Visiren^OFLX
EX:E000005055,"4-amino-N-(3,4-dimethyl-1,2-oxazol-5-yl)benzenesulfonamide",1,Exposure,127-69-5^127-69-5^001-05-4^001-10-4^CC1=C(ON=C1C)NS(=O)(=O)C2=CC=C(C=C2)N^NHUHCSRWZMLRLA-UHFFFAOYSA-N,sulfisoxazole^Sulfafurazole^127-69-5^Sulphafurazole^Sulfisoxazol^Sulfafurazol^Sulfaisoxazole^Sulfofurazole^Gantrisin^Sulfisoxasole
EX:E000005278,"5-[(3,4,5-trimethoxyphenyl)methyl]pyrimidine-2,4-diamine",2,Exposure,738-70-5^738-70-5^001-06-5^COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N^IEDVJHCEMCRBQM-UHFFFAOYSA-N,"trimethoprim^738-70-5^Proloprim^Trimpex^Trimetoprim^Monotrim^Monotrimin^Trimopan^Wellcoprim^2,4-Diamino-5-(3,4,5-trimethoxybenzyl)pyrimidine"
